person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"6199644",regional_background,pt,"other","home",66293.000,5867.822,95827.000,76973.000,waitingForPt,95827.000,"13808.1",<none>,,"",true,false,false,false,"13808.1","161895","","","",true,PT_NEVER_BOARDED
"6202933",regional_background,pt,"other","home",71280.000,22044.573,78996.000,93804.000,waitingForPt,78996.000,"13745",<none>,,"",true,true,true,false,"13745","175462","tr_2026","XXX---162443_106","XXX---162443_106_21",true,PT_BOARDED_NOT_ARRIVED
"6204916",unresolved_background,car,"other","other",68157.000,7432.986,68157.000,104643.000,entered link,120308.000,"16208",entered link,120308.000,"16208",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6213781",regional_background,pt,"other","home",12732.000,9784.027,72538.000,100262.000,waitingForPt,72538.000,"168668",<none>,,"",true,false,false,false,"168668","4171","","","",true,PT_NEVER_BOARDED
"6219827",regional_background,walk,"shopping","home",70646.000,158909.462,80527.000,92273.000,departure,80527.000,"34795",<none>,,"",false,false,false,false,"","","","","",true,PT_NEVER_BOARDED
"6222429",regional_background,pt,"other","home",41673.000,21293.915,45724.000,127076.000,waitingForPt,45724.000,"3620",<none>,,"",true,false,false,false,"3620","167837","","","",true,PT_NEVER_BOARDED
"6225069",unresolved_background,car,"other","other",67113.000,20634.360,67113.000,105687.000,entered link,158195.000,"419626",entered link,158195.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6233719",regional_background,pt,"other","home",42445.000,1319.927,97919.000,74881.000,waitingForPt,97919.000,"3731",<none>,,"",true,false,false,false,"3731","3823","","","",true,PT_NEVER_BOARDED
"6242505",regional_background,pt,"other","home",59110.000,14021.644,65241.000,107559.000,waitingForPt,65241.000,"104908",<none>,,"",true,false,false,false,"104908","168979","","","",true,PT_NEVER_BOARDED
"6248687",regional_background,pt,"other","home",38230.000,21908.242,65345.000,107455.000,waitingForPt,65345.000,"7294.1",<none>,,"",true,false,false,false,"7294.1","12900.4","","","",true,PT_NEVER_BOARDED
"6252425",regional_background,pt,"other","home",63000.000,10480.163,70116.000,102684.000,waitingForPt,70116.000,"102454",<none>,,"",true,true,true,false,"102454","168680","tr_314","XXX---161788_2","XXX---161788_2_130",true,PT_BOARDED_NOT_ARRIVED
"6257096",regional_background,pt,"other","home",69300.000,4356.113,76322.000,96478.000,waitingForPt,76322.000,"13743",<none>,,"",true,true,true,false,"13743","168927","tr_2049","XXX---162443_106","XXX---162443_106_42",true,PT_BOARDED_NOT_ARRIVED
"6258401",regional_background,pt,"other","home",60433.000,18542.874,67497.000,105303.000,waitingForPt,67497.000,"7782",<none>,,"",true,false,false,false,"7782","6887.1","","","",true,PT_NEVER_BOARDED
