person_id,runtime_cohort,old_leg_mode,old_stuck_time,first_arrival_after_43h,last_arrival_time,last_event_type,last_event_time,observed_arrival_after_43h
"4497380",regional_background,car,154800.000,172064.000,172064.000,actstart,172064.000,true
"4501778",unresolved_background,car,154800.000,157158.000,157158.000,actstart,157158.000,true
"451534",munich_resident,car,154800.000,158452.000,158452.000,actstart,158452.000,true
"4522983",unresolved_background,car,154800.000,155822.000,155822.000,actstart,155822.000,true
"4529321",unresolved_background,car,154800.000,156517.000,156517.000,actstart,156517.000,true
"4530336",unresolved_background,car,154800.000,157523.000,157523.000,actstart,157523.000,true
"4538522",regional_background,car,154800.000,161335.000,163455.000,actstart,163455.000,true
"4539857",regional_background,car,154800.000,156717.000,156717.000,actstart,156717.000,true
"4542573",regional_background,car,154800.000,156187.000,158181.000,actstart,158181.000,true
"4550623",unresolved_background,car,154800.000,156706.000,156706.000,actstart,156706.000,true
"4551756",unresolved_background,car,154800.000,158652.000,158652.000,actstart,158652.000,true
"4554909",unresolved_background,car,154800.000,160277.000,160277.000,actstart,160277.000,true
"4558527",regional_background,car,154800.000,156609.000,158628.000,actstart,158628.000,true
"456069",munich_resident,car,154800.000,164364.000,164364.000,actstart,164364.000,true
"4587471",unresolved_background,car,154800.000,161868.000,161868.000,actstart,161868.000,true
"4587734",unresolved_background,car,154800.000,158874.000,158874.000,actstart,158874.000,true
"4592872",unresolved_background,car,154800.000,155543.000,155543.000,actstart,155543.000,true
"4605198",unresolved_background,car,154800.000,159362.000,159362.000,actstart,159362.000,true
"4613579",unresolved_background,car,154800.000,159764.000,159764.000,actstart,159764.000,true
"4621935",unresolved_background,car,154800.000,161943.000,161943.000,actstart,161943.000,true
"4629863",regional_background,car,154800.000,160709.000,162329.000,actstart,162329.000,true
"4639279",unresolved_background,car,154800.000,162141.000,162141.000,actstart,162141.000,true
"4655333",unresolved_background,car,154800.000,161002.000,161002.000,actstart,161002.000,true
"4656706",unresolved_background,car,154800.000,168957.000,168957.000,actstart,168957.000,true
"466125",munich_resident,car,154800.000,171560.000,171560.000,actstart,171560.000,true
"4662174",regional_background,car,154800.000,163266.000,164337.000,actstart,164337.000,true
"4665144",unresolved_background,car,154800.000,157653.000,157653.000,actstart,157653.000,true
"4670159",unresolved_background,car,154800.000,159795.000,159795.000,actstart,159795.000,true
"4670344",unresolved_background,car,154800.000,161566.000,161566.000,actstart,161566.000,true
"467244",munich_resident,car,154800.000,164660.000,164660.000,actstart,164660.000,true
"4693957",regional_background,car,154800.000,158805.000,160258.000,actstart,160258.000,true
"4696603",regional_background,car,154800.000,158271.000,159838.000,actstart,159838.000,true
"4697623",unresolved_background,car,154800.000,167812.000,167812.000,actstart,167812.000,true
"4699514",unresolved_background,car,154800.000,165029.000,165029.000,actstart,165029.000,true
"4717047",unresolved_background,car,154800.000,163622.000,163622.000,actstart,163622.000,true
"4757295",unresolved_background,car,154800.000,171753.000,171753.000,actstart,171753.000,true
"4765857",unresolved_background,car,154800.000,170168.000,170168.000,actstart,170168.000,true
"476725",munich_resident,car,154800.000,158580.000,158580.000,actstart,158580.000,true
"4793910",regional_background,car,154800.000,154893.000,154893.000,actstart,154893.000,true
"4800906",unresolved_background,car,154800.000,157020.000,157020.000,actstart,157020.000,true
"4806993",unresolved_background,car,154800.000,155390.000,155390.000,actstart,155390.000,true
"4819544",unresolved_background,car,154800.000,161004.000,161004.000,actstart,161004.000,true
"4821122",unresolved_background,car,154800.000,160021.000,160021.000,actstart,160021.000,true
"4821694",unresolved_background,car,154800.000,162779.000,162779.000,actstart,162779.000,true
"4837935",unresolved_background,car,154800.000,170041.000,170041.000,actstart,170041.000,true
"484468",regional_background,walk,154800.000,167989.000,167989.000,actstart,167989.000,true
"4863886",regional_background,walk,154800.000,164695.000,164695.000,actstart,164695.000,true
"486520",munich_resident,car,154800.000,164893.000,164893.000,actstart,164893.000,true
"48706",munich_resident,car,154800.000,157015.000,157015.000,actstart,157015.000,true
"488707",munich_resident,car,154800.000,157250.000,157941.000,actstart,157941.000,true
"4903695",regional_background,car,154800.000,172029.000,172029.000,actstart,172029.000,true
"492530",munich_resident,car,154800.000,168934.000,168934.000,actstart,168934.000,true
"495877",munich_resident,car,154800.000,165800.000,165800.000,actstart,165800.000,true
"4976499",unresolved_background,car,154800.000,156158.000,156158.000,actstart,156158.000,true
"4991440",unresolved_background,car,154800.000,167469.000,167469.000,actstart,167469.000,true
"4997104",unresolved_background,car,154800.000,160867.000,160867.000,actstart,160867.000,true
"5024762",unresolved_background,car,154800.000,162003.000,162003.000,actstart,162003.000,true
"504337",munich_resident,car,154800.000,167250.000,167250.000,actstart,167250.000,true
"5063819",unresolved_background,car,154800.000,166327.000,166327.000,actstart,166327.000,true
"506539",munich_resident,car,154800.000,158327.000,158327.000,actstart,158327.000,true
"507169",munich_resident,car,154800.000,163513.000,163513.000,actstart,163513.000,true
"5078480",unresolved_background,car,154800.000,171121.000,171121.000,actstart,171121.000,true
"5091532",unresolved_background,car,154800.000,160298.000,160298.000,actstart,160298.000,true
"5097031",unresolved_background,car,154800.000,160719.000,160719.000,actstart,160719.000,true
"5101003",unresolved_background,car,154800.000,155513.000,155513.000,actstart,155513.000,true
"5109534",unresolved_background,car,154800.000,163859.000,163859.000,actstart,163859.000,true
"511845",munich_resident,car,154800.000,157205.000,157205.000,actstart,157205.000,true
"515958",munich_resident,car,154800.000,154998.000,154998.000,actstart,154998.000,true
"5164670",unresolved_background,car,154800.000,164664.000,164664.000,actstart,164664.000,true
"5171969",unresolved_background,car,154800.000,168188.000,168188.000,actstart,168188.000,true
"519516",munich_resident,car,154800.000,161582.000,161582.000,actstart,161582.000,true
"519583",munich_resident,car,154800.000,164933.000,164933.000,actstart,164933.000,true
"521022",munich_resident,car,154800.000,164911.000,164911.000,actstart,164911.000,true
"5245826",unresolved_background,walk,154800.000,164747.000,164747.000,actstart,164747.000,true
"5269597",unresolved_background,car,154800.000,167016.000,167016.000,actstart,167016.000,true
"528024",munich_resident,car,154800.000,155285.000,155285.000,actstart,155285.000,true
"5328104",unresolved_background,car,154800.000,161331.000,161331.000,actstart,161331.000,true
"5331387",regional_background,car,154800.000,165672.000,165672.000,actstart,165672.000,true
"5338354",regional_background,car,154800.000,169376.000,169376.000,actstart,169376.000,true
"5347212",unresolved_background,car,154800.000,155329.000,155329.000,actstart,155329.000,true
"5357563",unresolved_background,car,154800.000,159349.000,159349.000,actstart,159349.000,true
"5358342",regional_background,car,154800.000,164893.000,164893.000,actstart,164893.000,true
"5366525",unresolved_background,car,154800.000,160681.000,160681.000,actstart,160681.000,true
"540609",munich_resident,car,154800.000,163162.000,163162.000,actstart,163162.000,true
"5419773",regional_background,car,154800.000,155443.000,155443.000,actstart,155443.000,true
"5422523",regional_background,car,154800.000,171697.000,171697.000,actstart,171697.000,true
"542741",munich_resident,car,154800.000,164674.000,164674.000,actstart,164674.000,true
"5439859",regional_background,car,154800.000,158485.000,158485.000,actstart,158485.000,true
"5450448",regional_background,car,154800.000,155652.000,156846.000,actstart,156846.000,true
"5451206",regional_background,car,154800.000,159980.000,161333.000,actstart,161333.000,true
"5478455",unresolved_background,car,154800.000,168526.000,168526.000,actstart,168526.000,true
"5478705",regional_background,car,154800.000,155601.000,156558.000,actstart,156558.000,true
"54866",munich_resident,car,154800.000,165326.000,165326.000,actstart,165326.000,true
"5494740",unresolved_background,car,154800.000,158698.000,158698.000,actstart,158698.000,true
